LinkItemsToUMLSCUIID	ItemPTR	CUI	ItemToUMLSCUILinkTypePTR
10178	3178	C0267380	0
561	3203	C0010273	0
15123	3203	C2931196	0
562	3207	C0010403	0
9035	3207	C0392385	0
563	3213	C0010414	0
564	3213	C0010416	0
565	3218	C0010417	0
4597	3221	C0010418	0
566	3221	C0010419	0
9926	3221	C0085319	0
567	3224	C0303795	0
568	3231	C0151356	0
569	3231	C0427877	0
570	3233	C0428483	0
571	3233	C0428484	0
572	3234	C0007815	0
6139	3235	C0878553	0
573	3237	C0010474	0
575	3242	C0221406	0
15130	3242	C1306214	0
576	3259	C0267113	0
577	3263	C0023048	0
8519	3263	C0238079	0
8520	3263	C0546999	0
578	3266	C0023288	0
10623	3266	C1328252	0
15398	3266	C3495436	0
579	3274	C0009447	0
580	3280	C0010505	0
582	3280	C0238080	0
583	3294	C0010581	0
584	3303	C0010583	0
585	3314	C0010590	0
18069	3314	C4082376	0
586	3321	C0010592	0
588	3333	C0010621	0
4868	3333	C0056855	0
589	3339	C0010691	0
590	3341	C0010678	0
591	3347	C0010674	0
592	3374	C0206620	0
11503	3374	C0205828	0
594	3391	C0262393	0
12340	3391	C0010695	0
595	3396	C0010701	0
596	3398	C0271053	0
597	3399	C0010825	0
7608	3399	C0205725	0
599	3399	C0677047	0
10180	3399	C0010823	0
600	3410	C0158945	0
6729	3416	C0304497	0
601	3416	C0677881	0
602	3427	C0012358	0
3927	3430	C0155223	0
603	3432	C0010930	0
604	3436	C0010961	0
605	3449	C0010964	0
606	3453	C0010976	0
13288	3453	C0010977	0
607	3460	C0010980	0
608	3467	C0022595	0
8775	3467	C0265971	0
609	3472	C0149870	0
610	3474	C0040149	0
611	3485	C0011082	0
9872	3485	C0700449	0
612	3487	C0057223	0
15420	3487	C3203671	0
613	3491	C0011119	0
15400	3491	C3494941	0
614	3498	C0149871	0
616	3498	C0340708	0
7239	3517	C0043832	0
618	3520	C0011175	0
6140	3532	C0878554	0
4546	3536	C0011185	0
619	3536	C0057277	0
15406	3536	C2698868	0
620	3538	C0288165	0
14998	3538	C0543492	0
621	3539	C0460082	0
622	3543	C0001957	0
10351	3543	C0236663	0
623	3554	C0011276	0
11220	3554	C0282125	0
624	3559	C0333303	0
625	3564	C0011311	0
5211	3564	C0019100	0
626	3581	C0518988	0
627	3586	C0011394	0
628	3589	C0011570	0
10580	3589	C0011581	0
631	3597	C0011608	0
632	3604	C0011649	0
12996	3604	C1879828	0
15295	3604	C1368910	0
633	3606	C0011145	0
11016	3606	C0011148	0
11219	3606	C1511755	0
7820	3612	C0878773	0
11650	3612	C1261562	0
18071	3612	C2945586	0
635	3614	C0011777	0
13315	3614	C0011779	0
13460	3614	C0113286	0
636	3617	C0011813	0
637	3620	C0011816	0
6692	3620	C0350422	0
11222	3620	C0887411	0
638	3623	C0445863	0
13779	3623	C2242455	0
639	3631	C0012236	0
11737	3631	C0795907	0
640	3637	C0162283	0
641	3638	C0687720	0
642	3639	C0011848	0
8494	3646	C0677501	0
644	3649	C0011854	0
645	3661	C0011860	0
646	3709	C0011880	0
647	3726	C0011892	0
648	3726	C0161541	0
11191	3726	C0282128	0
649	3739	C0035232	0
34905	3739	C4551685	0
650	3742	C0011991	0
17292	3742	C2129214	0
651	3751	C0012010	0
652	3759	C0012022	0
654	3765	C0012739	0
34580	3765	C1963092	0
655	3779	C0056031	0
7679	3779	C0950483	0
656	3783	C0012133	0
657	3787	C0043207	0
658	3797	C0012203	0
4517	3800	C0752347	0
6141	3804	C0878555	0
660	3809	C0012265	0
662	3827	C0012383	0
4949	3832	C0012472	0
17203	3832	C3813211	0
664	3840	C0012582	0
666	3847	C0012624	0
667	3851	C0012702	0
6500	3851	C0700534	0
668	3861	C0012772	0
11735	3865	C0264122	0
670	3869	C0012798	0
5277	3871	C0012819	0
11723	3871	C1510475	0
19336	3871	C4317009	0
5449	3876	C0012814	0
11517	3876	C0341357	0
673	3882	C0012963	0
11223	3882	C0700450	0
6142	3884	C0878556	0
14419	3884	C2216141	0
674	3885	C0013015	0
13290	3885	C0771334	0
4661	3888	C0006792	0
675	3888	C0018190	0
676	3894	C0013030	0
11224	3894	C0282151	0
677	3896	C0058702	0
8596	3896	C0770936	0
678	3898	C0013080	0
15628	3898	C3537167	0
6313	3925	C0077770	0
679	3925	C0114873	0
680	3930	C0013089	0
10633	3930	C0085752	0
11166	3930	C0546861	0
11203	3930	C1522680	0
681	3941	C0012559	0
14674	3941	C1277100	0
682	3945	C0013100	0
4635	3945	C0013102	0
10001	3945	C0013101	0
683	3947	C0152107	0
684	3957	C0027516	0
685	3961	C0013146	0
686	3971	C0029944	0
688	3982	C0022350	0
689	3985	C0013264	0
691	3994	C0152442	0
14719	3998	C0549463	0
695	4005	C0013295	0
34794	4005	C4551944	0
696	4011	C0013312	0
